DATE,TRANSACTION_AMOUNT,TRANSACTION_DONE_FOR
02-07-2022,-17.33,SQ *THE LIL DUMPLING Melbourne AU AUS Card xx2094 Value Date: 29/06/2022
01-07-2022,-40,Vodafone Australia North Sydney AU AUS Card xx2094 Value Date: 29/06/2022
01-07-2022,-32.38,Atiyah Streetfood Melbourne AU AUS Card xx2094 Value Date: 29/06/2022
30-06-2022,-2.7,MELBOURNE VENDING CO TULLAMARINE AU AUS Card xx2094 Value Date: 27/06/2022
30-06-2022,-19.55,SPICY N TASTE PTY LTD BUNDOORA AUS Card xx2094 Value Date: 28/06/2022
30-06-2022,-20,MYKI PAYMENTS MELBOURNE AUS Card xx2094 Value Date: 29/06/2022
29-06-2022,-2.7,MELBOURNE VENDING CO TULLAMARINE AU AUS Card xx2094 Value Date: 26/06/2022
29-06-2022,-47,Sea Life Melbourne Melbourne AU AUS Card xx2094 Value Date: 27/06/2022
29-06-2022,-6.5,COMPASS MELBOURNEZOO PARKVILLE AUS Card xx2094 Value Date: 25/06/2022
28-06-2022,-34.3,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 24/06/2022
28-06-2022,-30,Melbourne Zoo Parkville AU AUS Card xx2094 Value Date: 25/06/2022
24-06-2022,-7,COLES 7812 RESERVOIR AU AUS Card xx2094 Value Date: 22/06/2022
24-06-2022,-8,KMART 1391 RESERVOIR AU AUS Card xx2094 Value Date: 22/06/2022
24-06-2022,-21.69,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 22/06/2022
24-06-2022,-15,MUSEUM VICTORIA ADMISS CARLTON AUS Card xx2094 Value Date: 22/06/2022
23-06-2022,-21.44,UBER *EATS Sydney AU AUS Card xx2094 Value Date: 21/06/2022
22-06-2022,2500,SANGITA KADAM REF 2022062200020236 OVERSEAS EDUCATION BNF CONT:ANGAD D
22-06-2022,-14.15,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 18/06/2022
22-06-2022,-14,ROCKET BURGERS & FRI MELBOURNE VI AUS Card xx2094 Value Date: 19/06/2022
21-06-2022,-38.85,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 17/06/2022
21-06-2022,-2.7,MELBOURNE VENDING CO TULLAMARINE AU AUS Card xx2094 Value Date: 17/06/2022
21-06-2022,-50,MYKI PAYMENTS MELBOURNE AUS Card xx2094 Value Date: 19/06/2022
19-06-2022,-11.95,KFC ELIZABETH ST MELBOURNE AU Card xx2094
15-06-2022,-6.2,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 11/06/2022
14-06-2022,-82.23,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 10/06/2022
14-06-2022,-65.94,TASTE OF CHENNAI KINGSBURY VI AUS Card xx2094 Value Date: 10/06/2022
09-06-2022,-88.46,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 07/06/2022
08-06-2022,-10,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 06/06/2022
07-06-2022,-20.45,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 03/06/2022
02-06-2022,-40,Vodafone Australia North Sydney AU AUS Card xx2094 Value Date: 31/05/2022
31-05-2022,-2.7,MELBOURNE VENDING CO TULLAMARINE AU AUS Card xx2094 Value Date: 26/05/2022
27-05-2022,-75.31,AGORA IGA EXPRESS BUNDOORA VI AUS Card xx2094 Value Date: 25/05/2022
16-05-2022,250,Transfer From SACHIN BHADANGE Heater and warm clothes
06-05-2022,1000,SANGITA D KADAM REF 2022050600034584 OVERSEAS EDUCATION BNF CONT:ANGAD D
